Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,28,1853,1617,0,0,236,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout,28,1853,1617,0,0,236,0,0,0,0,0
